agency,county,town,address,X,Y,O_ABC,Serve,fax,mail,name,data
基隆市私立聯安護理之家,基隆市,仁愛區,基隆市仁愛區和明里愛五路34號3樓、6樓,121.7460556,25.12888718,B,喘息服務,02-24241071,n24241071@yahoo.com.tw,王虹禕,20220318 14:26:28
基隆市七堵區堵南社區發展協會,基隆市,七堵區,基隆市七堵區堵南里大德路44號,121.6896744,25.08207703,C,巷弄長照站,024-527-585,20650donan@gmail.com,蘇金鳳,20210323 14:00:31
基隆市私立健安老人長期照顧中心(養護型),基隆市,中正區,基隆市中正區德義里5鄰義2路2巷9號、13號3樓,121.7455826,25.1306324,B,喘息服務,02-24229001,jianan.yanghu@gmail.com,王南凱,20220126 15:48:25
基隆市暖暖區中興社區發展協會,基隆市,暖暖區,基隆市暖暖區碇和里暖碇路170號,121.751442,25.09594345,B,喘息服務,02-24570017,kao4374@yahoo.com.tw,程天保,20230510 15:46:19
居達健康事業有限公司附設基隆市私立居達居家長照機構,基隆市,仁愛區,基隆市仁愛區花崗里仁一路133號12樓,121.7524338,25.1278019,B,專業照護服務,2425-5717,aoueshin@gmail.com,沈哲宇,20220208 16:56:49
衛生福利部基隆醫院附設護理之家,基隆市,信義區,基隆市信義區仁壽里信二路二六八號,121.7482452,25.13043022,B,喘息服務,024-292-525,nurse001@kln.mohw.gov.tw,侯玉雪,20210305 09:57:50
基隆市中正區衛生所,基隆市,中正區,基隆市中正區中砂里中正路236號2樓,121.7591782,25.14094162,B,喘息服務,2462-1632  #806,eugene@klchb.gov.tw,張文龍,20220311 14:41:54
基隆市立醫院,基隆市,信義區,基隆市信義區信綠里東信路282號,121.7619858,25.12960625,B,專業照護服務,02-24652141,c0938602873@kmh.gov.tw,王慧珺,20230606 15:09:15
基隆市私立聯安老人長期照顧中心（養護型）,基隆市,仁愛區,基隆市仁愛區和明里愛五路34號7樓,121.7460022,25.12885475,B,喘息服務,2424-1073,n24241071@yahoo.com.tw,周辰澔,20220318 14:25:12
基隆市暖暖區中興社區發展協會,基隆市,暖暖區,基隆市暖暖區碇和里暖碇路170號,121.751442,25.09594345,C,巷弄長照站,02-24570017,kao4374@yahoo.com.tw,程天保,20230510 15:46:19
基隆市仁愛區花崗社區發展協會,基隆市,仁愛區,基隆市仁愛區花崗里仁一路133號4樓,121.752388,25.12795067,C,巷弄長照站,2429-2507,kuo_jean@yahoo.com.tw,吳碧真,20210323 14:24:16
基隆市天愛社會服務協會,基隆市,仁愛區,基隆市仁愛區崇文里安一路266巷76號,121.7302475,25.13358307,B,喘息服務,02-24281994,jelly4056@gmail.com,陳淑姿,20230602 16:12:44
基隆市仁愛區衛生所,基隆市,仁愛區,基隆市仁愛區光華里光一路26號,121.7368469,25.12525368,C,巷弄長照站,2431-1592#29,fran0527@klchb.gov.tw,曾舜玲,20210317 14:29:06
基隆市安樂區樂一社區發展協會,基隆市,安樂區,基隆市安樂區樂一里樂一路28巷19號,121.7336426,25.13102531,C,巷弄長照站,2437-8381,yunt2384@gmail.com,羅勇賢,20210323 14:07:30
基隆市安樂關懷協會,基隆市,中山區,基隆市中山區西華里西定路130號,121.7347565,25.13443565,C,巷弄長照站,02-24225623,domiso945@yahoo.com.tw,簡彰信,20210305 14:10:13
佑仁聯合診所,基隆市,七堵區,基隆市七堵區正光里開元路59-1號,121.7136765,25.09608459,B,居家失能個案家庭醫師照護服務,(02)24562212,shu_ping@hotmail.com,康德華,20230606 14:52:37
基隆市仁愛區衛生所,基隆市,仁愛區,基隆市仁愛區光華里光一路26號,121.7368469,25.12525368,B,喘息服務,2431-1592#29,fran0527@klchb.gov.tw,曾舜玲,20220311 14:51:22
基隆市私立順逸老人長期照顧中心(養護型),基隆市,安樂區,基隆市安樂區新崙里22鄰基金一路210巷58號,121.7083893,25.1456852,B,喘息服務,024-340-129,sy.nurse@msa.hinet.net,簡淑芬,20220126 15:32:58
基隆市中正區正砂社區發展協會,基隆市,中正區,基隆市中正區正砂里中正路179號3樓,121.7606735,25.14245605,C,巷弄長照站,0939-966644,cindycoekimo@yahoo.com.tw,俞美霞,20210323 14:29:54
基隆市七堵區六堵社區發展協會,基隆市,七堵區,基隆市七堵區六堵里六堵一街68號,121.7015076,25.08859253,C,巷弄長照站,02-24515089,wun122618226@yahoo.com.tw,余良盛,20210629 17:23:43
基隆市私立美綠居家護理所居家式服務類長期照顧服務機構,基隆市,中山區,基隆市中山區中山里中山一路121號,121.738266,25.13248825,B,居家服務,02-24251695,homecare-kl@fhmi.com.tw,李珮菁,20210427 13:23:53
基隆市私立愛心老人長期照顧中心(養護型),基隆市,七堵區,基隆市七堵區堵北里福一街162號2樓,121.6949463,25.08448219,B,喘息服務,02-2452-4532,yangyang590211@gmail.com,楊雪文,20220725 14:07:09
基隆市立醫院居家式服務類長期照顧服務機構,基隆市,信義區,基隆市信義區信綠里東信路282號,121.7619858,25.12960625,B,喘息服務,02-24652141,zu@kmh.gov.tw,王慧珺,20221230 13:19:50
居達健康事業有限公司附設基隆市私立居達居家長照機構,基隆市,仁愛區,基隆市仁愛區花崗里仁一路133號12樓,121.7524338,25.1278019,B,喘息服務,2425-5717,aoueshin@gmail.com,沈哲宇,20220301 15:07:47
基隆市安樂區永康社區發展協會,基隆市,安樂區,基隆市安樂區永康里崇德路10巷54-1號5樓,121.728508,25.13026047,B,喘息服務,02-2429-2558,C24292558@gmail.com,陳冠穎,20230602 16:14:03
基隆市信義區義和里辦公處,基隆市,信義區,基隆市信義區義和里信二路15號3樓,121.7576294,25.12874031,C,巷弄長照站,024-262-441,YIHE24262441@GMAIL.COM,蔡麗月,20210323 13:55:16
基隆市立醫院居家式服務類長期照顧服務機構,基隆市,信義區,基隆市信義區信綠里東信路282號,121.7619858,25.12960625,B,專業照護服務,02-24652141,zu@kmh.gov.tw,王慧珺,20221230 13:19:50
博愛護理之家,基隆市,七堵區,基隆市七堵區堵北里福一街162號,121.6949463,25.08448219,B,喘息服務,02-24524592,kuoni1116@gmail.com,郭湘妮,20220725 14:04:53
基隆市政府委託財團法人臺北市中國基督教靈糧世界佈道會士林靈糧堂經營管理基隆市中正社區式長期照顧服務機構,基隆市,中正區,基隆市中正區正船里中船路11號,121.7503586,25.13712883,B,小規模多機能服務,02-24225570,kldaycare@slsc.org.tw,許本爵,20220208 11:54:39
信賴職能治療所(居家式),基隆市,中正區,基隆市中正區新豐街161巷102號,121.7903671,25.13951874,B,專業照護服務,02-2469-5151,sinlaiot@gmail.com,賴俊龍,20210702 10:30:48
基隆市立醫院居家式服務類長期照顧服務機構,基隆市,信義區,基隆市信義區信綠里東信路282號,121.7619858,25.12960625,B,居家服務,02-24652141,zu@kmh.gov.tw,王慧珺,20221228 12:00:44
社團法人中華民國士林靈糧堂社會福利協會,基隆市,信義區,基隆市信義區義幸里013鄰信一路57號,121.7533493,25.12843132,A,個案管理服務,02-2451-6920,keelung.a@slsc.org.tw,劉群茂,20220207 09:46:40
基隆市私立宏安老人長期照顧中心(養護型),基隆市,七堵區,基隆市七堵區長興里29鄰東新街91號2樓,121.7212296,25.0945797,B,喘息服務,02-2455-3517,hongan889@gmail.com,王姿懿,20220207 10:57:06
衛生福利部基隆醫院,基隆市,信義區,基隆市信義區仁壽里信二路268號,121.7481308,25.13026237,B,喘息服務,02-24292525,kao8563@gmail.com,林三齊,20210305 09:36:00
基隆市私立福慧老人長期照顧中心(養護型),基隆市,安樂區,基隆市安樂區內寮里武聖街12號,121.6959457,25.15705681,B,喘息服務,024-320-418,quiz8871111@gmail.com,陳立洋,20210427 12:05:44
居達健康事業有限公司附設基隆市私立居達居家長照機構,基隆市,仁愛區,基隆市仁愛區花崗里仁一路133號12樓,121.7524338,25.1278019,B,喘息服務,2425-5717,aoueshin@gmail.com,沈哲宇,20220208 16:57:47
基隆市天愛社會服務協會,基隆市,仁愛區,基隆市仁愛區崇文里安一路266巷76號,121.7302475,25.13358307,C,巷弄長照站,02-24281994,jelly4056@gmail.com,陳淑姿,20230602 16:12:44
基隆市安樂關懷協會,基隆市,中山區,基隆市中山區西華里西定路130號,121.7347565,25.13443565,B,喘息服務,02-24225623,domiso945@yahoo.com.tw,簡彰信,20210305 14:10:13
基隆市恩惠全人關懷協會,基隆市,信義區,基隆市信義區東安里東信路3巷34號,121.7675705,25.12720299,C,巷弄長照站,2465-0910,kec316@yahoo.com.tw,徐菊英,20210323 14:11:13
喜安護理之家,基隆市,七堵區,基隆市七堵區堵南里堵南街五十一之十二號,121.6836624,25.08217239,B,喘息服務,024-511-225,shian2452@gmail.com,簡宜萱,20210427 13:25:28
衛生福利部基隆醫院,基隆市,信義區,基隆市信義區仁壽里信二路268號,121.7481308,25.13026237,B,居家失能個案家庭醫師照護服務,02-24292525,kao8563@gmail.com,林三齊,20230606 15:11:22
財團法人天下為公社會福利慈善事業基金會,基隆市,安樂區,基隆市安樂區干城里安一路329-3號1樓,121.7287369,25.13418388,A,個案管理服務,2428-3696,wba81597922@gmail.com,胡世賢,20221205 08:59:21
仁祥診所,基隆市,仁愛區,基隆市仁愛區文昌里忠一路20號,121.7396851,25.13130188,B,居家失能個案家庭醫師照護服務,2423-2111,z131232001@hotmail.com,吳祥榮,20230606 14:54:34
基隆市私立逸嘉老人長期照顧中心（養護型）,基隆市,仁愛區,基隆市仁愛區同風里11鄰忠4路13號7樓,121.7393188,25.12756157,B,喘息服務,2428-8091,ikaresthome@yahoo.com.tw,李清文,20220927 09:41:14
永信健康事業有限公司附設基隆市私立永信居家長照機構,基隆市,中正區,基隆市中正區新豐街161巷102號,121.7903671,25.13951874,B,居家服務,02-24695151,yongsinabc@gmail.com,賴俊龍,20230714 14:04:47
駿安物理治療所(居家型),基隆市,安樂區,基隆市安樂區樂利二街34號1樓,121.7192307,25.12389565,B,專業照護服務(CC01),0953-825-336,lily94520@hotmail.com,林君芳,20230802 17:19:14
基隆市中山區通化社區發展協會,基隆市,中山區,基隆市中山區通化里復旦路10號,121.7392807,25.14546967,C,巷弄長照站,024-282-050,480221@gmail.com,葉張桂玉,20210323 14:04:03
社團法人中華民國士林靈糧堂社會福利協會,基隆市,信義區,基隆市信義區義幸里013鄰信一路57號,121.7533493,25.12843132,B,營養餐飲服務,02-2451-6920,qidudaycare@slsc.org.tw,劉群茂,20230203 10:42:16
財團法人基隆市私立昱冠人文社會福利慈善基金會,基隆市,中正區,基隆市中正區德義里義二路106號2樓,121.7465439,25.13260841,C,巷弄長照站,02-24252631,wts499020489@gmail.com,林淑娟,20210323 14:30:52
駿安物理治療所(居家型),基隆市,安樂區,基隆市安樂區樂利二街34號1樓,121.7192307,25.12389565,B,專業照護服務,0953-825-336,lily94520@hotmail.com,林君芳,20230717 13:32:08
