agency,county,town,address,X,Y,O_ABC,Serve,fax,mail,name,data
可馨居家護理所-樹林區(醫事C),新北市,樹林區,新北市樹林區圳福里千歲街61巷12弄28號,121.4279022,25.19942665,C,巷弄長照站,02-2239-8785、0930866217、0919471279,wind59450@gmail.com,余儒,20210526 18:00:09
力健復健科診所(醫事C),新北市,汐止區,新北市汐止區智慧里大同路2段265號1樓,121.6532135,25.06619644,C,巷弄長照站,(02)26470755,A0975567232@gmail.com,楊威,20210526 18:33:02
財團法人私立廣恩老人養護中心附設新北市私立瑞芳明燈社區長照機構,新北市,瑞芳區,新北市瑞芳區龍興里明燈路三段2號2樓,121.8088989,25.10777092,B,小規模多機能服務,02-24063888,rueifang103@gmail.com,林偉峰,20220317 16:26:26
新北市私立萬眾居家長照機構,新北市,三重區,新北市三重區福德南路41號7樓,121.5029068,25.06207085,B,居家服務,02-28576792,wzhomecare99@gmail.com,黃姿穎,20220301 16:35:51
財團法人台灣省私立健順養護中心附設新北市私立板橋頤安社區長照機構,新北市,板橋區,新北市板橋區五權里廣權路130號2樓,121.4655533,24.99307442,B,喘息服務,02-89533885,ch.daycare@msa.hinet.net,黃禎祥,20220222 10:08:09
新北市私立捷安護理之家,新北市,蘆洲區,新北市蘆洲區中山一路300號,121.4701233,25.07807541,B,喘息服務,02-22829859,jiean300@gmail.com,張玉馨,20220126 15:30:07
財團法人中華民國佛教慈濟慈善事業基金會(新店靜思堂)(社照C),新北市,新店區,新北市新店區復興里建國路289號,121.535675,24.986063,B,居家失能個案家庭醫師照護服務,(02)66289779,maggie16471@tzuchi.com.tw,陳惠仙,20220314 15:42:32
新北市私立木新居護理之家,新北市,土城區,新北市土城區清水路114號3樓至5樓,121.458046,24.98142624,B,喘息服務,02-22740855,lilyfong588@hotmail.com,酆麗利,20220208 15:10:06
財團法人新北市台灣基督長老教會幸福教會(社照C),新北市,新莊區,新北市新莊區仁義里福樂街74號2樓,121.4578323,25.04673958,C,巷弄長照站,2991-8108,yehjen1101@gmail.com,葉玉雪,20220503 09:36:33
民族骨科診所(醫事C),新北市,蘆洲區,新北市蘆洲區仁義里集賢路336巷7號,121.4794312,25.08621407,C,巷弄長照站,(02)2848-5500,winniechien@usmg.com.tw,蘇治原,20210525 18:54:55
新北市永和區雙和里辦公處(社照C),新北市,永和區,新北市永和區雙和里中和路335巷18弄1號1樓,121.507515,25.00039864,C,巷弄長照站,0926-230-300,qq0926230300@gmail.com,黃珠珪,20230531 21:10:39
安心好生活股份有限公司附設新北市私立佳醫居家長照機構,新北市,三重區,新北市三重區重新路3段128號8樓-1,121.49189,25.05991554,B,居家服務,(02)2977-6001,carrie516899@gmail.com,蘇秀鑾,20220623 15:49:39
新北市私立嘉豐居家長照機構,新北市,板橋區,新北市板橋區崑崙里沙崙街29-7號1樓,121.4309158,24.99427032,B,喘息服務,8687-2227,jiafengservices@gmail.com,湯家豪,20220210 15:03:17
新北市土城區日新里辦公處(社照C),新北市,土城區,新北市土城區日新里裕生路100巷7號,121.4462051,24.98509026,C,巷弄長照站,0282-626-001,coffee0416@hotmail.com,吳信坪,20220502 16:48:40
新北市五股區衛生所,新北市,五股區,新北市五股區新城三路11號,121.4476395,25.09423637,B,居家失能個案家庭醫師照護服務,02-2917717,AG5172@ntpc.gov.tw,張筱婉,20220321 14:39:14
新北市私立樂齡居家長照機構,新北市,三重區,新北市三重區重新路三段105號3樓,121.4913025,25.0599308,B,喘息服務,0955-162-628,judy20000610@yahoo.com.tw,林凱瑩,20220302 09:25:37
達特窩可居家物理治療所,新北市,三峽區,新北市三峽區介壽路一段276巷108弄1號,121.3798752,24.92776108,B,專業照護服務(CC01),02-26748522,drwalk4u@gmail.com,賴維澤,20230802 17:19:14
新北市私立保安老人長期照顧中心(養護型),新北市,樹林區,新北市樹林區保安街二段64號4樓、64號5樓、64號6樓,121.4155426,25.00264549,B,喘息服務,026-863-810,nbaoan66@gmail.com,唐台勇,20230110 14:20:42
社團法人中華民國照顧服務員專業發展協會附設新北市私立照顧服務員居家式服務類長期照顧服務機構,新北市,土城區,新北市土城區青仁路22號1樓,121.4607697,24.97915268,B,營養餐飲服務,02-22651680,careworkertw@yahoo.com.tw,許婉菁,20220322 17:19:48
新北市私立佳緣老人長期照顧中心(養護型),新北市,鶯歌區,新北市鶯歌區西鶯里中山路41號,121.351799,24.95669556,B,喘息服務,02-26707278,konmugen@gmail.com,邱菊珍,20220301 16:14:16
社團法人博芳照顧關懷及共享協會(社照C),新北市,三峽區,新北市三峽區礁溪里中華路15巷13號,121.3738632,24.93148613,C,巷弄長照站,000-000-000,sw@hok.com.tw,朱雲鵬,20230526 11:09:09
國際奔享體驗教育發展協會(社照C),新北市,新莊區,新北市新莊區丹鳳里天祥街120巷6號,121.4147034,25.02996254,C,巷弄長照站,000-000-000,hingis0721@gmail.com,曾美蘭,20220503 09:36:10
良田健康照護社附設新北市私立良田健康照護居家長照機構,新北市,中和區,新北市中和區連城路446之2號2樓,121.5045395,24.99663734,B,專業照護服務,8668-8621,nick0526@hotmail.com.tw,陳素芳,20220412 15:31:03
心悅居家長照有限公司附設新北市私立心悅居家長照機構,新北市,汐止區,新北市汐止區大同里大同路二段322巷8號1樓,121.6564713,25.0664444,B,居家服務,02-86910047,XY162123@gmail.com,莊萱慈,20220207 10:18:01
台灣在地安老推展協會(淡水埤島站)(社照C),新北市,淡水區,新北市淡水區埤島里埤島7-5號,121.4455338,25.19285011,C,巷弄長照站,02-264129770926-348981,aginginplacetw@gmail.com,呂子煒,20230628 15:32:11
社團法人中華民國香柏樹長者社區關懷協會(社照C),新北市,新店區,新北市新店區復興里北新路三段225號3樓,121.5398407,24.98608208,C,巷弄長照站,02-23632096,Kunlin65@gmail.com,蘇奕璋,20220503 10:28:01
新北市烏來區衛生所,新北市,烏來區,新北市烏來區新烏路五段109號,121.5476074,24.87101936,A,個案管理服務,02 26617200,tpc270@ntpc.gov.tw,?傑,20220511 15:23:39
南丁格爾居家護理所,新北市,汐止區,新北市汐止區大同路三段423號,121.6777191,25.07168007,B,專業照護服務,02-86481908,ntg107921@gmail.com,王冠今,20220207 10:22:08
顏鴻仁家庭醫學科診所,新北市,蘆洲區,新北市蘆洲區民族路127號1號,121.4797287,25.08724022,B,居家失能個案家庭醫師照護服務,02 2831488,jenhung380907@hotmail.com,顏鴻仁,20220207 10:40:04
達特窩可事業有限公司附設新北市私立賴夫居家長照機構,新北市,新莊區,新北市新莊區思源里自立街250號2樓,121.4588852,25.04548836,B,喘息服務,026-748-522,drwalk4u@gmail.com,賴維澤,20230407 17:20:51
新北市私立宏德老人長期照顧中心(養護型),新北市,永和區,新北市永和區永平路81巷2號(2層)、4號(2層)、12號2樓(2層),121.5116043,25.00826645,B,喘息服務,029-231-336,hdw1336@yahoo.com.tw,魏嘉源,20220303 09:20:29
行天宮醫療志業醫療財團法人恩主公醫院,新北市,三峽區,新北市三峽區鳶山里復興路399號,121.3629074,24.93830681,B,居家失能個案家庭醫師照護服務,02-26723456#8735,01952@km.eck.org.tw,黃信彰,20220303 10:20:36
財團法人中華文化社會福利事業基金會附設新北市私立翠柏新村老人安養中心,新北市,汐止區,新北市汐止區長青里永春一路5號,121.6032181,25.1125164,B,喘息服務,02-26451001,na01.na02@msa.hinet.net,張正中,20221229 21:49:04
新北市私立維興居家長照機構,新北市,三重區,新北市三重區頂崁里中興北街17號1樓,121.4696808,25.04638481,B,專業照護服務,029-954-245,hanya520@hotmail.com,邱大維,20220324 10:43:08
新北市私立亞恩老人長期照顧中心(養護型),新北市,新店區,新北市新店區復興里民權路42巷59弄2號5樓,121.5381546,24.98402786,B,喘息服務,02-89111270,giona1007@yahoo.com.tw,劉志榮,20220411 10:23:47
新北市私立樂齡居家長照機構,新北市,三重區,新北市三重區重新路三段105號3樓,121.4913025,25.0599308,B,居家服務,0955-162-628,judy20000610@yahoo.com.tw,林凱瑩,20220302 09:25:00
溫昕護理之家,新北市,新店區,新北市新店區中正路539之3號3樓、4樓、5樓,121.5334702,24.98623085,B,喘息服務,02-22190258,shincs1970@gmail.com,喬嵩蘭,20220302 11:28:36
善誠健康事業股份有限公司附設新北市私立三重善誠居家長照機構,新北市,三重區,新北市三重區仁愛街99號1樓,121.4957657,25.07382393,B,專業照護服務,0917-500-935,Alicia.hung@medtecs.com,林仁德,20221201 10:53:21
新北市私立桐心老人長期照顧中心(養護型),新北市,板橋區,新北市板橋區湳興里中正路302號2樓,121.4466248,25.03502655,B,喘息服務,02-29688657,allenyen1989@gmail.com,劉昱瓊,20220207 10:26:16
新北市五股區成州社區發展協會(社照C),新北市,五股區,新北市五股區成州里西雲路267號,121.4493408,25.09808922,C,巷弄長照站,0970-236-196,oldwang0302@gmail.com,王文龍,20220503 09:34:18
衛生福利部雙和醫院(委託臺北醫學大學興建經營),新北市,中和區,新北市中和區中正里中正路291號,121.4935226,24.99269867,B,喘息服務,02-22490088,21470@s.tmu.edu.tw,程毅君,20230907 15:35:40
新北市私立全心居家長照機構,新北市,三重區,新北市三重區長壽西街107號,121.4945908,25.06686974,A,個案管理服務,0925-790-290,gsk.md.ada@gmail.com,許秀芬,20220126 15:35:44
新北市烏來區衛生所,新北市,烏來區,新北市烏來區新烏路五段109號,121.5476074,24.87101936,B,居家失能個案家庭醫師照護服務,02 26617200,tpc270@ntpc.gov.tw,?傑,20220511 15:23:39
新北市私立慈美老人養護中心,新北市,中和區,新北市中和區連和里中山路二段315巷2號6樓,121.4940262,25.00173569,B,喘息服務,022-467-727,tzumei315@yahoo.com.tw,張美素,20220207 10:42:45
明新幫老人服務事業股份有限公司附設新北市私立明新幫居家長照機構,新北市,新莊區,新北市新莊區中原里中信街176號24樓之3,121.4479065,25.05763245,B,喘息服務,085-227-699,yahanhsieh@gmail.com,謝雅涵,20220314 14:54:27
