agency,county,town,address,X,Y,O_ABC,Serve,fax,mail,name,data
臺北市政府社會局委託社團法人中華民國紅心字會經營管理臺北市信義社區長照機構,臺北市,信義區,臺北市信義區興雅里松隆路36號5樓,121.567543,25.04339409,B,營養餐飲服務,02-87870300,xinyitw@yahoo.com.tw,劉緒倫,20201230 16:59:33
耆康實業有限公司附設臺北市私立小太陽居家長照機構,臺北市,松山區,臺北市松山區自強里三民路35巷9號2樓,121.5624695,25.05532074,B,喘息服務,027-420-058,tw.softlife@gmail.com,嚴成茂,20220322 11:56:33
李文珍小兒科診所,臺北市,南港區,臺北市南港區研究院路二段74號,121.6151047,25.04557037,B,居家失能個案家庭醫師照護服務,026-541-871,liwennchenn@gmail.com,李文珍,20221230 21:47:40
李文珍小兒科診所,臺北市,南港區,臺北市南港區研究院路二段74號,121.6151047,25.04557037,B,居家失能個案家庭醫師照護服務,026-541-871,liwennchenn@gmail.com,李文珍,20220325 11:58:02
臺北市私立晨欣老人長期照顧中心(養護型),臺北市,中山區,臺北市中山區集英里中山北路2段96巷19號3樓,121.5219193,25.05989647,B,喘息服務,02-25212226,chenxin96193@gmail.com,李政勳,20221229 23:17:29
好物理治療所,臺北市,文山區,臺北市文山區萬隆里萬隆街64號,121.5370026,25.00092125,B,專業照護服務,0918-096373,imio1688@gmail.com,林佑青,20230406 16:11:19
社團法人臺灣職能治療學會,臺北市,中正區,臺北市中正區德義博愛路9號,121.5114441,25.04741669,B,專業照護服務,02-23820103,otaroc.taipei@gmail.com,吳菁宜,20201208 15:13:44
財團法人天主教聖母聖心會,臺北市,中正區,臺北市中正區中山北路一段2號,121.5194931,25.04605675,B,喘息服務,02-23028934,marie_la_frat@yahoo.com,王秀枝,20190417 00:00:00
百齡診所附設護理之家,臺北市,士林區,臺北市士林區葫東里重慶北路4段187號3-8樓,121.5112686,25.08425713,B,喘息服務,02 28113113,nursinghome2009@hotmail.com,陳雅玲,20221230 15:23:22
好朋友居家職能治療所,臺北市,中山區,臺北市中山區撫順街25號9樓之4,121.5203171,25.06358337,B,專業照護服務(CC01),02-89136000,hami610@gmail.com,陳偉修,20230802 17:19:14
臺北市文山區順興社區發展協會,臺北市,文山區,臺北市文山區順興里興隆路4段165巷12號1、2樓,121.5626144,24.98406219,C,巷弄長照站,2939-5932,penny235689@hotmail.com,單連城,20221230 18:51:56
臺北市內湖區大湖里辦公處,臺北市,內湖區,臺北市內湖區大湖里大湖山莊街117號3樓,121.6017456,25.08604431,C,巷弄長照站,0972-295-512,bl-abc526209@mail.taipei.gov.tw,郭坤祥,20210408 17:36:42
好物理治療所,臺北市,文山區,臺北市文山區萬隆里萬隆街64號,121.5370026,25.00092125,B,專業照護服務(CC01),0920-988-007,imio1688@gmail.com,林佑青,20230802 17:19:14
好物理治療所,臺北市,文山區,臺北市文山區萬隆里萬隆街64號,121.5370026,25.00092125,B,專業照護服務(CC01),0920-988-007,imio1688@gmail.com,林佑青,20230802 17:19:14
新富里辦公處,臺北市,南港區,臺北市南港區新富里富康街25號,121.6173782,25.05365181,C,巷弄長照站,02-27828495,ng_343@mail.taipei.gov.tw,許睦燦,20210412 14:51:02
財團法人基督教台灣信義會(內湖思恩堂),臺北市,內湖區,臺北市內湖區紫星里康寧路一段62號,121.5921555,25.08005524,C,巷弄長照站,0936-649-973,aa0936649973@gmail.com,吳英賓,20210408 18:05:45
臺北市士林區富光里辦公處,臺北市,士林區,臺北市士林區富光里葫蘆街62號,121.5087433,25.0808506,C,巷弄長照站,028-160-879,bn_443@mail.taipei.gov.tw,高毓紋,20210407 11:54:57
詮順居家長照有限公司附設臺北市私立詮順居家長照機構,臺北市,中山區,臺北市中山區力行里復興北路62號2樓之2,121.5427704,25.0483799,B,居家服務,02-2773-0398,welldone82941629@gmail.com,林倖如,20211230 16:12:37
社團法人台灣厝邊有愛關懷協會錫安教會,臺北市,南港區,臺北市南港區玉成里玉成街20號,121.5816498,25.05032539,C,巷弄長照站,02-23635546,lo1119@ms53.hinet.net,鄭忠仁,20210412 14:49:02
愛護家健康事業股份有限公司附設臺北市私立愛護家居家長照機構,臺北市,中山區,臺北市中山區晴光里中山北路3段31號7樓之1,121.5225296,25.06570244,B,居家服務,02-2599-5665,vera@inursingplus.com,張淑貞,20211230 16:00:50
財團法人台北市建成基督長老教會,臺北市,大同區,臺北市大同區建泰里承德路一段77巷29號,121.518425,25.05212593,C,巷弄長照站,02-2558-0685,jiancheng_church@yahoo.com.tw,許靜惠,20210407 14:19:30
廣和順科技股份有限公司附設私立家天使居家長照機構,臺北市,信義區,臺北市信義區中興里信義路4段401號8樓,121.5587234,25.03325844,B,喘息服務,027-588-708,mikekong@ghsha.com,龔文凱,20221229 22:49:50
臺北市立聯合醫院,臺北市,大同區,臺北市大同區鄭州路145號,121.5088882,25.0506916,B,專業照護服務,25553000#2030,B5646@tpech.gov.tw,蕭勝煌,20221229 23:03:19
泉益居家有限公司附設臺北市私立泉益居家長照機構,臺北市,文山區,臺北市文山區忠順街一段20號1樓,121.5587769,24.98389626,B,居家服務,02-86618880,chuanyi10910@gmail.com,詹弘毅,20220719 10:07:29
臺北市北投區清江社區發展協會,臺北市,北投區,臺北市北投區清江里清江路201號,121.501915,25.12750435,C,巷弄長照站,02-28922543,lung2433@gmail.com,李炳?,20210412 11:04:56
臺北市士林區幸福名山社區發展協會,臺北市,士林區,臺北市士林區名山里雨聲街68號,121.5287476,25.10368919,C,巷弄長照站,2836-6501,suling0800@gmail.com,薛群秀,20210407 11:45:09
臺北市政府社會局委託社團法人中華民國紅心字會經營管理臺北市信義社區長照機構,臺北市,信義區,臺北市信義區興雅里松隆路36號5樓,121.567543,25.04339409,B,日間照顧服務,02-87870300,xinyitw@yahoo.com.tw,劉緒倫,20190725 15:14:29
好物理治療所,臺北市,文山區,臺北市文山區萬隆里萬隆街64號,121.5370026,25.00092125,B,專業照護服務,,imio1688@gmail.com,林佑青,20221229 22:44:45
臺北市內湖社區安全與健康協進會,臺北市,內湖區,臺北市內湖區湖興里湖興里民權東路6段45號,121.5864105,25.06915474,C,巷弄長照站,88627-934-447,neihusafe@gmail.com,李明珠,20210408 17:51:57
臺北市政府社會局委託財團法人台灣省私立健順養護中心經營管理臺北市復華社區長照機構,臺北市,中山區,臺北市中山區遼寧街185巷11號2-3樓,121.5427628,25.05342484,B,喘息服務,02-27171393,fuhua1060810@gmail.com,黃禎祥,20221229 23:08:58
臺北市立聯合醫院,臺北市,大同區,臺北市大同區鄭州路145號,121.5088882,25.0506916,B,居家失能個案家庭醫師照護服務,25553000#2030,B5646@tpech.gov.tw,蕭勝煌,20221230 21:45:43
喜樂園長照股份有限公司附設臺北市私立喜樂園居家長照機構,臺北市,松山區,臺北市松山區吉祥里八德路4段123號2樓之4,121.5617523,25.04870987,B,居家服務,027-602-270,formosacpa@gmail.com,張經緯,20211230 14:57:48
有限責任台灣長期照顧勞動合作社附設臺北市私立一滴水居家長照機構,臺北市,中正區,臺北市中正區黎明里許昌街42之1號7樓715室,121.515625,25.0451622,B,喘息服務,02-66050759,taiwanltc001@gmail.com,葉芳枝,20230511 16:13:55
