agency,county,town,address,X,Y,O_ABC,Serve,fax,mail,name,data
桃園市都市原住民老人會,桃園市,蘆竹區,桃園市蘆竹區內厝里東溪路28號,121.2797546,25.06368446,C,巷弄長照站,03-4802337,ccchungdaw@mohw.gov.tw,待補,20190903 17:08:04
社團法人中華民國士林靈糧堂社會福利協會附設桃園市私立龜山陸光社區長照機構,桃園市,龜山區,桃園市龜山區陸光里029鄰自強西路240號1樓,121.331749,24.99531937,B,小規模多機能服務,03-2132050,ksdaycare@slsc.org.tw,劉群茂,20230426 13:20:07
沙爾德聖保祿修女會醫療財團法人附設聖保祿居家護理所,桃園市,桃園區,桃園市桃園區建新街123號,121.3120041,24.98231697,B,專業照護服務,03 3613141,tecogi6@mail.sph.org.tw,陳佳鈴,20230221 11:33:17
職物語居家職能治療所,桃園市,蘆竹區,桃園市蘆竹區南崁路2段83號18樓之3(1826室),121.2781143,25.05712509,B,專業照護服務,0913-820528,ops1080322@gmail.com,李柏毅,20230118 15:08:40
桃園市八德區榮光服務協會,桃園市,八德區,桃園市八德區大信里大興路1025號,121.3025818,24.93620491,C,巷弄長照站,03-3688808,a0985908411@gmail.com,王國棟,20210127 16:05:58
桃園市中壢區仁祥里辦公處,桃園市,中壢區,桃園市中壢區龍平里華祥一街21號,121.254158,24.92928886,C,巷弄長照站,03-4658837,ant3515@yahoo.com.tw,陳秀菁,20210127 16:37:26
桃園市中壢區永福社區發展協會,桃園市,中壢區,桃園市中壢區忠福里南園二路90號,121.2311249,24.9716301,C,巷弄長照站,03-4615485,h935258767@gmail.com,黃寶貞,20210127 16:39:31
桃園市八德區瑞祥里辦公處,桃園市,八德區,桃園市八德區瑞祥里介壽路二段1233巷46-1號,121.2991028,24.930233,C,巷弄長照站,03-4615485,a0927581675@yahoo.com.tw,張是華,20210128 10:54:31
社團法人台灣樂活服務發展協會(豐收據點),桃園市,中壢區,桃園市中壢區龍慈里後寮一路320號1樓,121.2464066,24.93601608,C,巷弄長照站,0982-985298,top.church@ymail.com,林淑萍,20210127 15:29:19
桃園市私立?駿居家長照機構,桃園市,楊梅區,桃園市楊梅區瑞溪里中山北路二段265巷94號1樓,121.1755753,24.90805626,B,居家服務,03-4820769,Longjun2021@gmail.com,邱?峰,20220628 18:49:42
桃園市私立家悅老人長期照顧中心(養護型),桃園市,桃園區,桃園市桃園區新生路165號5樓之2,121.3077774,24.99611855,B,喘息服務,03-3342139,c09985183@gmail.com,楊閎升,20230221 15:29:49
社團法人台灣樂活服務發展協會(行道會據點),桃園市,平鎮區,桃園市平鎮區北勢里莒光路1號2樓,121.2223358,24.94704247,C,巷弄長照站,0982-985298,top.church@gmail.com,馬瑞辰,20210127 15:33:37
社團法人中華雲鵬展弘協會,桃園市,楊梅區,桃園市楊梅區中山里中山北路一段319號,121.1572952,24.90833855,C,巷弄長照站,03-4881300,yumnpp.ltcc@gmail.com,李鈺璽,20210128 11:00:56
姜博文診所,桃園市,楊梅區,桃園市楊梅區永寧里永美路335號3樓,121.1820221,24.91717148,C,巷弄長照站,03-4826241#322,4826241@gmail.com,姜博文,20210127 14:58:50
桃園市蘆竹區新興社區發展協會,桃園市,蘆竹區,桃園市蘆竹區新興里大竹路一巷336號,121.2762604,25.00576973,C,巷弄長照站,0913-000-338,j095230309158@gmail.com,呂書言,20210201 16:55:13
財團法人天下為公社會福利慈善事業基金會中壢區,桃園市,中壢區,桃園市中壢區中正路257號9F,121.2232437,24.9568367,A,個案管理服務,03-4260176,leoleo987321@gmail.com,胡世賢,20230125 19:29:57
桃園市私立安安居家長照機構,桃園市,中壢區,桃園市中壢區中央里延平路429號10樓之一,121.2245255,24.9586277,B,居家服務,03-4265391,ananhomecare@gmail.com,蔣建宇,20201116 13:58:17
財團法人天主教德來會附設桃園市私立德來綜合長照機構,桃園市,桃園區,桃園市桃園區三民里三民路一段2號2樓,121.3233032,24.99634743,B,日間照顧服務,03-3317226,joannahsieh9102005@yahoo.com,蔡宜芬,20210201 15:14:38
桃園市楊梅區永平里辦公處,桃園市,楊梅區,桃園市楊梅區永平里中山北路二段２６８巷１６號,121.1735001,24.91124535,C,巷弄長照站,0936-923067,80017360@mail.tycg.gov.tw,陶其瑞,20191231 18:11:25
桃園市大溪區中興社區發展協會,桃園市,大溪區,桃園市大溪區中新里16鄰大鶯路1450巷26號,121.3165054,24.92902756,C,巷弄長照站,0960-638268,maiaaa2003@yahoo.com.tw,張傳,20210127 16:12:53
擁晴居家職能治療所,桃園市,中壢區,桃園市中壢區興農路80號3樓B室,121.2569275,24.97328377,B,專業照護服務,0918-291491,yongqing4522618@gmail.com,李幸樺,20230203 10:48:06
高揚威家醫科診所,桃園市,復興區,桃園市復興區忠孝路32號,121.3515778,24.81482887,B,居家失能個案家庭醫師照護服務,03-3822839,alicewang19891030@gmail.com,高揚威,20230720 13:07:47
高揚威家醫科診所,桃園市,復興區,桃園市復興區忠孝路32號,121.3515778,24.81482887,B,專業照護服務,03-3822839,alicewang19891030@gmail.com,高揚威,20230203 10:58:07
桃園市龍潭區上華里辦公處,桃園市,龍潭區,桃園市龍潭區上華里大順路209號,121.2178192,24.8507576,C,巷弄長照站,03-4703681,lungrr@hotmail.com,龍畇慈,20210127 17:02:59
桃園市平鎮區守望相助推廣協會,桃園市,平鎮區,桃園市平鎮區新勢里新德街9號,121.2168198,24.94801331,C,巷弄長照站,03-49306070933080683,h0933080683@yahoo.com.tw,范勝郎,20210127 18:01:50
國軍退除役官兵輔導委員會桃園榮譽國民之家附設悅來社區長照機構,桃園市,八德區,桃園市八德區大信里興豐路1217號,121.3083572,24.93862343,B,喘息服務,03-3681140分機370、371林秦玲,vhtyu0129@mail5.vac.gov.tw,陳平,20230118 16:07:43
財團法人桃園市私立國宏老人長期照顧中心(養護型),桃園市,平鎮區,桃園市平鎮區北貴里關爺東路19-5號,121.2206116,24.9292984,B,喘息服務,03-4582977,chang7716@gmail.com,吳黃玉英,20230822 08:28:09
福安居家物理治療所,桃園市,八德區,桃園市八德區樹仁三街601號1樓,121.3095551,24.97520638,B,專業照護服務,0965-667316,tommy830316@gmail.com,朱曉英,20230207 07:25:32
世豪小客車租賃有限公司,桃園市,桃園區,桃園市桃園區永安路223號3樓,121.3035049,24.99825668,B,交通接送服務,03-331-6367,peggyhuang6924@gmail.com,舒茂松,20220609 14:14:56
姜博文診所楊梅區,桃園市,楊梅區,桃園市楊梅區永美路335號2樓,121.1081314,24.91166115,A,個案管理服務,03-4826251,4826241@gmail.com,姜博文,20230125 19:44:09
